Roll 1: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 32585: (+2/4) 2 × T1 | R%: 9.26% (1 in 10.799) | 8.1 ★ [+3.6]
Roll 32586: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 32587: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 32588: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 32589: (+7/9) 2 × T1 | R%: 9.26% (1 in 10.799) | 17.1 ★ [+12.6]
Roll 32590: (+9/11) 2 × T1 | R%: 9.26% (1 in 10.799) | 20.7 ★ [+16.2]
Roll 32591: (+11/13) 2 × T1 | R%: 9.26% (1 in 10.799) | 24.3 ★ [+19.8]
Roll 32592: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 32593: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 32594: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 32595: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 32596: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 32597: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32598: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32599: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 32600: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 32601: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 32602: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32603: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32604: (+1/3) 2 × T2 | R%: 3.087% (1 in 32.396) | 30.8 ★ [+8.8]
Roll 32605: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32606: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32607: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32608: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32609: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32610: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32611: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 32612: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 32613: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 32614: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 32615: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 32616: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 32617: (+1/2) 1 × T4 | R%: 2.058% (1 in 48.594) | 206.58 ★ [+59.02]
Roll 32618: (+2/4) 2 × T4 | R%: 0.343% (1 in 291.562) | 535.72 ★ [+238.1]
Roll 32619: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 32620: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 32621: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 32622: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 32623: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32624: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 32625: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32626: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32627: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32628: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32629: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 32630: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32631: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32632: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 32633: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32634: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 32635: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32636: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32637: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 32638: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 32639: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32640: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32641: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 32642: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32643: 1 × T6 | R%: 0.229% (1 in 437.344) | 1835.77 ★
Roll 32644: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32645: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32646: (+2/5) 3 × T1 | R%: 1.543% (1 in 64.792) | 14.4 ★ [+6.4]
Roll 32647: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 32648: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 32649: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32650: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 32651: (+2/3) 1 × T2 | R%: 18.521% (1 in 5.399) | 17.55 ★ [+7.8]
Roll 32652: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32653: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32654: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32655: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 32656: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32657: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32658: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32659: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32660: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 32661: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32662: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32663: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 32664: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 32665: (+2/4) 2 × T1 | R%: 9.26% (1 in 10.799) | 8.1 ★ [+3.6]
Roll 32666: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 32667: (+2/3) 1 × T2 | R%: 18.521% (1 in 5.399) | 17.55 ★ [+7.8]
Roll 32668: (+3/4) 1 × T2 | R%: 18.521% (1 in 5.399) | 21.45 ★ [+11.7]
Roll 32669: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32670: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32671: (+1/3) 2 × T2 | R%: 3.087% (1 in 32.396) | 30.8 ★ [+8.8]
Roll 32672: (+3/4) 1 × T2 | R%: 18.521% (1 in 5.399) | 21.45 ★ [+11.7]
Roll 32673: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 32674: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 32675: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 32676: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32677: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 32678: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 32679: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 32680: (+4/6) 2 × T1 | R%: 9.26% (1 in 10.799) | 11.7 ★ [+7.2]
Roll 32681: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 32682: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32683: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32684: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 32685: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 32686: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 32687: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 32688: 2 × T3 | R%: 1.029% (1 in 97.187) | 83.26 ★
Roll 32689: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32690: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 32691: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 32692: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32693: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 32694: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32695: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32696: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32697: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 32698: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 32699: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32700: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32701: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32702: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32703: (+2/5) 3 × T1 | R%: 1.543% (1 in 64.792) | 14.4 ★ [+6.4]
Roll 32704: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32705: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 32706: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32707: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32708: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32709: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 32710: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 32711: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32712: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 32713: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 32714: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 32715: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 32716: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 32717: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32718: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 32719: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32720: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32721: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 32722: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32723: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32724: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 32725: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 32726: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 32727: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 32728: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 32729: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 32730: 3 × T1 | R%: 1.543% (1 in 64.792) | 8.0 ★
Roll 32731: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 32732: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32733: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32734: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 32735: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 32736: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 32737: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 32738: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 32739: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 32740: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 32741: (+9/10) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.6 ★ [+3.6]
Roll 32742: (+10/11) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.0 ★ [+4.0]
Roll 32743: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32744: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32745: (+1/4) 3 × T1 | R%: 1.543% (1 in 64.792) | 11.2 ★ [+3.2]
Roll 32746: (+4/6) 2 × T1 | R%: 9.26% (1 in 10.799) | 11.7 ★ [+7.2]
Roll 32747: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32748: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 32749: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32750: (+1/4) 3 × T1 | R%: 1.543% (1 in 64.792) | 11.2 ★ [+3.2]
Roll 32751: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 32752: (+5/7) 2 × T1 | R%: 9.26% (1 in 10.799) | 13.5 ★ [+9.0]
Roll 32753: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 32754: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32755: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32756: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32757: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32758: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32759: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32760: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 32761: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 32762: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 32763: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32764: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32765: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32766: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32767: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 32768: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32769: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32770: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 32771: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32772: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32773: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32774: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 32775: (+3/6) 3 × T1 | R%: 1.543% (1 in 64.792) | 17.6 ★ [+9.6]
Roll 32776: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 32777: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32778: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 32779: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32780: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 32781: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32782: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32783: (+2/4) 2 × T1 | R%: 9.26% (1 in 10.799) | 8.1 ★ [+3.6]
Roll 32784: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 32785: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 32786: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32787: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32788: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 32789: (+3/5) 2 × T1 | R%: 9.26% (1 in 10.799) | 9.9 ★ [+5.4]
Roll 32790: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 32791: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 32792: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 32793: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 32794: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32795: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 32796: (+2/3) 1 × T2 | R%: 18.521% (1 in 5.399) | 17.55 ★ [+7.8]
Roll 32797: 1 × T6 | R%: 0.229% (1 in 437.344) | 1835.77 ★
Roll 32798: 3 × T3 | R%: 0.171% (1 in 583.125) | 126.14 ★
Roll 32799: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 32800: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 32801: 1 × T6 | R%: 0.229% (1 in 437.344) | 1835.77 ★
Roll 32802: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32803: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32804: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32805: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32806: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32807: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32808: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 32809: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32810: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32811: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 32812: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32813: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32814: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 32815: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32816: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32817: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32818: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32819: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32820: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32821: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32822: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32823: 3 × T1 | R%: 1.543% (1 in 64.792) | 8.0 ★
Roll 32824: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32825: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32826: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32827: (+2/4) 2 × T1 | R%: 9.26% (1 in 10.799) | 8.1 ★ [+3.6]
Roll 32828: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 32829: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 32830: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 32831: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 32832: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 32833: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32834: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32835: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 32836: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 32837: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 32838: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32839: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32840: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 32841: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 32842: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 32843: (+5/7) 2 × T1 | R%: 9.26% (1 in 10.799) | 13.5 ★ [+9.0]
Roll 32844: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 32845: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 32846: (+9/10) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.6 ★ [+3.6]
Roll 32847: (+10/11) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.0 ★ [+4.0]
Roll 32848: (+11/12) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.4 ★ [+4.4]
Roll 32849: (+12/13) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.8 ★ [+4.8]
Roll 32850: (+13/14) 1 × T1 | R%: 55.563% (1 in 1.8) | 6.2 ★ [+5.2]
Roll 32851: (+14/15) 1 × T1 | R%: 55.563% (1 in 1.8) | 6.6 ★ [+5.6]
Roll 32852: (+15/17) 2 × T1 | R%: 9.26% (1 in 10.799) | 31.5 ★ [+27.0]
Roll 32853: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32854: 2 × T3 | R%: 1.029% (1 in 97.187) | 83.26 ★
Roll 32855: (+2/3) 1 × T3 | R%: 6.174% (1 in 16.198) | 72.68 ★ [+32.3]
Roll 32856: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 32857: (+2/4) 2 × T1 | R%: 9.26% (1 in 10.799) | 8.1 ★ [+3.6]
Roll 32858: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 32859: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 32860: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 32861: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32862: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 32863: (+1/2) 1 × T3 | R%: 6.174% (1 in 16.198) | 56.53 ★ [+16.15]
Roll 32864: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32865: (+1/3) 2 × T2 | R%: 3.087% (1 in 32.396) | 30.8 ★ [+8.8]
Roll 32866: (+3/4) 1 × T2 | R%: 18.521% (1 in 5.399) | 21.45 ★ [+11.7]
Roll 32867: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32868: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 32869: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 32870: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 32871: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 32872: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 32873: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 32874: (+5/7) 2 × T1 | R%: 9.26% (1 in 10.799) | 13.5 ★ [+9.0]
Roll 32875: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 32876: (+2/3) 1 × T2 | R%: 18.521% (1 in 5.399) | 17.55 ★ [+7.8]
Roll 32877: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
